"Interaction","Quantified_at_the","Sampled_at_the","Main_Source","Population","Sample_size","Method","Source","Origin","Category","Prey","Strength","Index","Species","Genus","Family","Order","Class"
1002,"population-level","community-level",12,102,91,"gut contents","unknown","unknown","sediment","sediment",0.01,"%IAi","Megaleporinus elongatus","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1003,"population-level","community-level",12,103,67,"gut contents","terrestrial","animal","insect","Ceratopogolidae",2.61,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1003,"population-level","community-level",12,103,67,"gut contents","terrestrial","animal","insect","Ceratopogolidae",0.07,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1003,"population-level","community-level",12,103,67,"gut contents","terrestrial","animal","insect","Ceratopogolidae",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1004,"population-level","community-level",12,103,67,"gut contents","terrestrial","animal","insect","Hemiptero",0.87,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1004,"population-level","community-level",12,103,67,"gut contents","terrestrial","animal","insect","Hemiptero",0.03,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1004,"population-level","community-level",12,103,67,"gut contents","terrestrial","animal","insect","Hemiptero",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1005,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect larvae","insect larvae",0.87,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1005,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect larvae","insect larvae",0.02,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1005,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect larvae","insect larvae",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1006,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Odonata",1.74,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1006,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Odonata",1.39,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1006,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Odonata",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1007,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Plecoptero",0.87,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1007,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Plecoptero",0.08,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1007,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Plecoptero",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1008,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Quironomideo",5.22,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1008,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Quironomideo",3.54,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1008,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Quironomideo",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1009,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","insect parts",13.04,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1009,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","insect parts",2.93,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1009,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","insect parts",0.02,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1010,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Simulideo",0.87,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1010,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Simulideo",0.02,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1010,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Simulideo",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1011,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Tricoptero",6.09,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1011,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Tricoptero",1.49,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1011,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","insect","Tricoptero",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1012,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","fish","fish parts",0.87,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1012,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","fish","fish parts",0.49,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1012,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","fish","fish parts",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1013,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","mollusc","Bivalve",0.87,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1013,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","mollusc","Bivalve",0.35,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1013,"population-level","community-level",12,103,67,"gut contents","aquatic","animal","mollusc","Bivalve",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1014,"population-level","community-level",12,103,67,"gut contents","terrestrial","vegetal","higher plant","higher plant",26.96,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1014,"population-level","community-level",12,103,67,"gut contents","terrestrial","vegetal","higher plant","higher plant",39.97,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1014,"population-level","community-level",12,103,67,"gut contents","terrestrial","vegetal","higher plant","higher plant",0.55,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1015,"population-level","community-level",12,103,67,"gut contents","aquatic","vegetal","algae","algae",22.6,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1015,"population-level","community-level",12,103,67,"gut contents","aquatic","vegetal","algae","algae",29.74,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1015,"population-level","community-level",12,103,67,"gut contents","aquatic","vegetal","algae","algae",0.34,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1016,"population-level","community-level",12,103,67,"gut contents","terrestrial","vegetal","plant","seed",1.74,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1016,"population-level","community-level",12,103,67,"gut contents","terrestrial","vegetal","plant","seed",0.72,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1016,"population-level","community-level",12,103,67,"gut contents","terrestrial","vegetal","plant","seed",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1017,"population-level","community-level",12,103,67,"gut contents","unknown","unknown","detritus","detritus",8.7,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1017,"population-level","community-level",12,103,67,"gut contents","unknown","unknown","detritus","detritus",13,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1017,"population-level","community-level",12,103,67,"gut contents","unknown","unknown","detritus","detritus",0.06,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1018,"population-level","community-level",12,103,67,"gut contents","unknown","unknown","sediment","sediment",5.21,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1018,"population-level","community-level",12,103,67,"gut contents","unknown","unknown","sediment","sediment",6,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1018,"population-level","community-level",12,103,67,"gut contents","unknown","unknown","sediment","sediment",0.02,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1019,"population-level","community-level",12,103,67,"gut contents","terrestrial","animal","animal tissue","nematode",0.87,"F%","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1019,"population-level","community-level",12,103,67,"gut contents","terrestrial","animal","animal tissue","nematode",0.16,"V","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1019,"population-level","community-level",12,103,67,"gut contents","terrestrial","animal","animal tissue","nematode",0.01,"%IAi","Megaleporinus garmani","Megaleporinus","Anostomidae","Characiformes","Teleostei"
1020,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Coleoptero",6.12,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1020,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Coleoptero",1.55,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1020,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Coleoptero",0.01,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1021,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Ephemeroptera",4.08,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1021,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Ephemeroptera",0.19,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1021,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Ephemeroptera",0.01,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1022,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Hemiptero",2.04,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1022,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Hemiptero",0.52,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1022,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Hemiptero",0.01,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1023,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Hymenoptera",2.04,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1023,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Hymenoptera",0.93,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1023,"population-level","community-level",12,104,48,"gut contents","terrestrial","animal","insect","Hymenoptera",0.01,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1024,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","insect","Odonata",2.04,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1024,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","insect","Odonata",0.39,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1024,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","insect","Odonata",0.01,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1025,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","insect","insect parts",20.41,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1025,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","insect","insect parts",4.28,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1025,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","insect","insect parts",0.03,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1026,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","fish","Astyanax sp.",36.73,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1026,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","fish","Astyanax sp.",83.08,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1026,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","fish","Astyanax sp.",0.93,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1027,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","fish","scale",4.08,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1027,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","fish","scale",1.23,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1027,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","fish","scale",0.01,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1028,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","fish","fish parts",16.33,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1028,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","fish","fish parts",7.66,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1028,"population-level","community-level",12,104,48,"gut contents","aquatic","animal","fish","fish parts",0.04,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1029,"population-level","community-level",12,104,48,"gut contents","aquatic","vegetal","algae","algae",4.08,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1029,"population-level","community-level",12,104,48,"gut contents","aquatic","vegetal","algae","algae",0.04,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1029,"population-level","community-level",12,104,48,"gut contents","aquatic","vegetal","algae","algae",0.01,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1030,"population-level","community-level",12,104,48,"gut contents","terrestrial","vegetal","plant","seed",2.04,"F%","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1030,"population-level","community-level",12,104,48,"gut contents","terrestrial","vegetal","plant","seed",0.11,"V","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1030,"population-level","community-level",12,104,48,"gut contents","terrestrial","vegetal","plant","seed",0.01,"%IAi","Oligosarcus macrolepis","Oligosarcus","Acestrorhamphidae","Characiformes","Teleostei"
1031,"population-level","community-level",12,105,26,"gut contents","terrestrial","animal","insect","Coleoptero",15,"F%","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1031,"population-level","community-level",12,105,26,"gut contents","terrestrial","animal","insect","Coleoptero",18.04,"V","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1031,"population-level","community-level",12,105,26,"gut contents","terrestrial","animal","insect","Coleoptero",0.19,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1032,"population-level","community-level",12,105,26,"gut contents","terrestrial","animal","insect","Hemiptero",10,"F%","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1032,"population-level","community-level",12,105,26,"gut contents","terrestrial","animal","insect","Hemiptero",7.7,"V","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1032,"population-level","community-level",12,105,26,"gut contents","terrestrial","animal","insect","Hemiptero",0.05,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1033,"population-level","community-level",12,105,26,"gut contents","terrestrial","animal","insect","Hymenoptera",2.5,"F%","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1033,"population-level","community-level",12,105,26,"gut contents","terrestrial","animal","insect","Hymenoptera",0.81,"V","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1033,"population-level","community-level",12,105,26,"gut contents","terrestrial","animal","insect","Hymenoptera",0.01,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1034,"population-level","community-level",12,105,26,"gut contents","aquatic","animal","insect","Odonata",5,"F%","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1034,"population-level","community-level",12,105,26,"gut contents","aquatic","animal","insect","Odonata",12.16,"V","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1034,"population-level","community-level",12,105,26,"gut contents","aquatic","animal","insect","Odonata",0.04,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1035,"population-level","community-level",12,105,26,"gut contents","aquatic","animal","insect","insect parts",12.5,"F%","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1035,"population-level","community-level",12,105,26,"gut contents","aquatic","animal","insect","insect parts",10.46,"V","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1035,"population-level","community-level",12,105,26,"gut contents","aquatic","animal","insect","insect parts",0.09,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1036,"population-level","community-level",12,105,26,"gut contents","aquatic","animal","insect","Tricoptero",17.5,"F%","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1036,"population-level","community-level",12,105,26,"gut contents","aquatic","animal","insect","Tricoptero",21.13,"V","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1036,"population-level","community-level",12,105,26,"gut contents","aquatic","animal","insect","Tricoptero",0.26,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1037,"population-level","community-level",12,105,26,"gut contents","aquatic","vegetal","algae","algae",30,"F%","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1037,"population-level","community-level",12,105,26,"gut contents","aquatic","vegetal","algae","algae",14.4,"V","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1037,"population-level","community-level",12,105,26,"gut contents","aquatic","vegetal","algae","algae",0.3,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1038,"population-level","community-level",12,105,26,"gut contents","unknown","unknown","detritus","detritus",5,"F%","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1038,"population-level","community-level",12,105,26,"gut contents","unknown","unknown","detritus","detritus",14.47,"V","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1038,"population-level","community-level",12,105,26,"gut contents","unknown","unknown","detritus","detritus",0.05,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1039,"population-level","community-level",12,105,26,"gut contents","unknown","unknown","sediment","sediment",2.5,"F%","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1039,"population-level","community-level",12,105,26,"gut contents","unknown","unknown","sediment","sediment",0.81,"V","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1039,"population-level","community-level",12,105,26,"gut contents","unknown","unknown","sediment","sediment",0.01,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
1040,"population-level","community-level",12,106,152,"gut contents","aquatic","animal","fish","fish",126,"F%","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1040,"population-level","community-level",12,106,152,"gut contents","aquatic","animal","fish","fish",62.59,"V","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1040,"population-level","community-level",12,106,152,"gut contents","aquatic","animal","fish","fish",0.87,"%IAi","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1041,"population-level","community-level",12,106,152,"gut contents","terrestrial","vegetal","plant","vegetal material",40,"F%","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1041,"population-level","community-level",12,106,152,"gut contents","terrestrial","vegetal","plant","vegetal material",7.84,"V","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1041,"population-level","community-level",12,106,152,"gut contents","terrestrial","vegetal","plant","vegetal material",0.03,"%IAi","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1042,"population-level","community-level",12,106,152,"gut contents","aquatic","vegetal","algae","algae",11,"F%","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1042,"population-level","community-level",12,106,152,"gut contents","aquatic","vegetal","algae","algae",13.51,"V","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1042,"population-level","community-level",12,106,152,"gut contents","aquatic","vegetal","algae","algae",0.02,"%IAi","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1043,"population-level","community-level",12,106,152,"gut contents","unknown","animal","insect","insect",54,"F%","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1043,"population-level","community-level",12,106,152,"gut contents","unknown","animal","insect","insect",13.22,"V","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1043,"population-level","community-level",12,106,152,"gut contents","unknown","animal","insect","insect",0.08,"%IAi","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1044,"population-level","community-level",12,106,152,"gut contents","unknown","unknown","detritus","detritus",12,"F%","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1044,"population-level","community-level",12,106,152,"gut contents","unknown","unknown","detritus","detritus",1.45,"V","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1044,"population-level","community-level",12,106,152,"gut contents","unknown","unknown","detritus","detritus",0.01,"%IAi","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1045,"population-level","community-level",12,106,152,"gut contents","terrestrial","vegetal","plant","seed",3,"F%","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1045,"population-level","community-level",12,106,152,"gut contents","terrestrial","vegetal","plant","seed",1.39,"V","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1045,"population-level","community-level",12,106,152,"gut contents","terrestrial","vegetal","plant","seed",0.01,"%IAi","Wertheimeria maculata","Wertheimeria","Doradidae","Siluriformes","Teleostei"
1046,"population-level","community-level",12,107,80,"gut contents","aquatic","animal","fish","fish",80,"F%","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1046,"population-level","community-level",12,107,80,"gut contents","aquatic","animal","fish","fish",57.75,"V","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1046,"population-level","community-level",12,107,80,"gut contents","aquatic","animal","fish","fish",0.61,"%IAi","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1047,"population-level","community-level",12,107,80,"gut contents","terrestrial","vegetal","plant","vegetal material",17,"F%","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1047,"population-level","community-level",12,107,80,"gut contents","terrestrial","vegetal","plant","vegetal material",4.28,"V","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1047,"population-level","community-level",12,107,80,"gut contents","terrestrial","vegetal","plant","vegetal material",0.01,"%IAi","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1048,"population-level","community-level",12,107,80,"gut contents","aquatic","vegetal","algae","algae",6,"F%","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1048,"population-level","community-level",12,107,80,"gut contents","aquatic","vegetal","algae","algae",0.14,"V","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1048,"population-level","community-level",12,107,80,"gut contents","aquatic","vegetal","algae","algae",0.01,"%IAi","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1049,"population-level","community-level",12,107,80,"gut contents","unknown","animal","insect","insect",79,"F%","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1049,"population-level","community-level",12,107,80,"gut contents","unknown","animal","insect","insect",18.23,"V","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1049,"population-level","community-level",12,107,80,"gut contents","unknown","animal","insect","insect",0.19,"%IAi","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1050,"population-level","community-level",12,107,80,"gut contents","unknown","unknown","detritus","detritus",80,"F%","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1050,"population-level","community-level",12,107,80,"gut contents","unknown","unknown","detritus","detritus",18.04,"V","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1050,"population-level","community-level",12,107,80,"gut contents","unknown","unknown","detritus","detritus",0.19,"%IAi","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1051,"population-level","community-level",12,107,80,"gut contents","terrestrial","vegetal","plant","seed",1,"F%","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1051,"population-level","community-level",12,107,80,"gut contents","terrestrial","vegetal","plant","seed",0.01,"V","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1051,"population-level","community-level",12,107,80,"gut contents","terrestrial","vegetal","plant","seed",0.01,"%IAi","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1052,"population-level","community-level",12,107,80,"gut contents","terrestrial","animal","mamal","mamal",1,"F%","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1052,"population-level","community-level",12,107,80,"gut contents","terrestrial","animal","mamal","mamal",1.55,"V","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1052,"population-level","community-level",12,107,80,"gut contents","terrestrial","animal","mamal","mamal",0.01,"%IAi","Trachelyopterus striatulus","Trachelyopterus","Auchenipteridae","Siluriformes","Teleostei"
1053,"population-level","community-level",12,108,58,"gut contents","aquatic","vegetal","algae","algae",1,"F%","Prochilodus harttii","Prochilodus","Prochilodontidae","Characiformes","Teleostei"
